scorer,,,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva
bodyparts,,,White,White,Brown,Brown,Orange,Orange,Green,Green,Red,Red
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,5Bugs2SegmentsTrial01,img029.png,517.3362625989455,849.8470258783369,567.1111996606296,858.2596912972132,502.78936197880546,873.8581750947127,553.615882217849,852.651247684629,487.19087818130583,872.9818557802464
labeled-data,5Bugs2SegmentsTrial01,img031.png,523.8210255259959,841.2590965965676,571.6680600958541,851.5996645072695,505.0677921964177,863.8681349097973,559.3995896933263,844.9396377173259,484.21139251212054,863.1670794582242
labeled-data,5Bugs2SegmentsTrial01,img051.png,645.1036186481275,801.4741997197988,639.3199111726502,832.1453757261181,576.400184393972,809.8868651386749,634.7630507374256,818.2995305575511,548.1827024681581,785.700452059406
labeled-data,5Bugs2SegmentsTrial01,img068.png,691.1980145890532,880.3429380217628,647.557312728633,879.1160909815101,660.1763108569473,837.4032916129157,672.2695173965818,876.6623969010045,640.8972859386894,794.4636452040686
labeled-data,5Bugs2SegmentsTrial01,img080.png,626.175121455656,927.6641810029414,611.1024292468362,899.2714352142343,700.1364715966091,889.4566588922121,633.0104121084929,908.3851560846836,662.8052688003461,850.8986090556963
labeled-data,5Bugs2SegmentsTrial01,img113.png,631.2577734795603,827.4132514280002,639.6704388984365,845.8159570317919,578.5033507486911,969.2017165086428,604.4424024568926,837.403291612916,562.0285476367252,951.8505940822106
labeled-data,5Bugs2SegmentsTrial01,img149.png,574.297018039253,970.7790912746821,565.5338248945903,957.8095654205813,597.6071118040558,834.2485420808374,577.9775591600113,901.1993377060603,636.6909532292514,845.4654293060056
labeled-data,5Bugs2SegmentsTrial01,img158.png,533.7440985966527,925.8966717777837,541.7383579910477,908.6117866007135,639.3979592414942,846.3861999632609,579.5490443158886,850.9234823222419,665.9734702012395,878.7953596702675
labeled-data,5Bugs2SegmentsTrial01,img237.png,539.7938084086272,877.9311154114141,550.1647395148693,862.8068408814777,678.2889508899019,882.6844588351084,670.7268136249338,851.3556044516687,637.8855317885004,929.3536488131979
labeled-data,5Bugs2SegmentsTrial01,img373.png,566.585380433086,933.2427479780386,562.2641591388185,903.6423821123059,676.9925845016218,844.0095282514138,644.3673637299019,831.9101086274646,663.1646763599656,923.5200000659365
labeled-data,5Bugs2SegmentsTrial01,img422.png,686.7153324137237,923.9521221953634,667.0537755248064,926.112732842497,575.0117619569078,840.9846733454265,573.9314566333409,872.9617109230063,662.9486152952522,826.2925209449169
labeled-data,5Bugs2SegmentsTrial01,img436.png,601.1551507872264,956.5773429670834,592.0805860692645,939.9406409841533,636.5891654002203,818.2982615505219,605.476372081494,826.2925209449169,675.4801570486281,892.4072067472102
labeled-data,5Bugs2SegmentsTrial01,img461.png,556.6465714562707,828.0210094626239,583.6542045454429,823.6997881683563,662.7325542305389,923.9521221953634,670.9428746896472,895.648122717911,575.0117619569078,918.5505955775288
labeled-data,5Bugs2SegmentsTrial01,img478.png,664.4610427482459,828.0210094626239,673.9677295956345,856.3250089400763,580.6293496394555,929.1375877484844,613.4706314758889,942.101251631287,574.579639827481,840.3364901512864
labeled-data,5Bugs2SegmentsTrial01,img528.png,568.313868950793,834.5028414040252,587.9754258397104,824.3479713624964,675.9122791780549,910.1242140537072,682.6101721841696,876.4186879584204,598.5624180106659,933.4588090427519
labeled-data,5Bugs2SegmentsTrial01,img589.png,560.7517316858249,877.931115411414,570.6905406626402,862.5907798167642,692.5489811609849,855.4607646812228,666.837714460093,831.6940475627513,663.1646763599656,923.5200000659365
labeled-data,5Bugs2SegmentsTrial01,img730.png,557.2947546504108,896.9444891061912,566.8014414977994,883.116580964535,678.5050119546154,838.391940568866,652.3616231242968,816.7858340975283,670.7268136249338,904.9387485005861
labeled-data,5Bugs2SegmentsTrial01,img812.png,561.6159759446783,840.5525512159998,584.5184488042963,828.0210094626239,688.6598819961441,883.116580964535,680.8816836664625,849.1949938045349,621.0327687408571,934.9712364957456
labeled-data,5Bugs2SegmentsTrial01,img916.png,719.556614250157,894.7838784590574,704.2162786555073,905.1548095652995,587.3272426455702,887.4378022588025,594.2411967163983,919.198778771669,632.484005170666,832.126169692178
