scorer,,,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva
bodyparts,,,White,White,Brown,Brown,Orange,Orange,Green,Green,Red,Red
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,5Bugs2SegmentsTrial02,img001.png,536.1510890958454,939.9844870021075,542.01089588001,993.5218126210661,506.8520551750222,940.2508418559332,524.6978303813418,967.9517466538023,528.6931531887268,979.4050053683059
labeled-data,5Bugs2SegmentsTrial02,img007.png,566.7818972857968,921.0732923804853,520.7025075739568,1010.0358135582574,487.141795991923,956.4984879392987,495.93150616816996,979.1386505144802,501.7913129523346,994.3208771825432
labeled-data,5Bugs2SegmentsTrial02,img020.png,552.6650900330367,897.3677103900011,468.7633110779521,1004.4423616279184,443.9923096721653,962.3582947234634,444.2586645259909,975.6760374147466,449.0530518948529,987.9283606907272
labeled-data,5Bugs2SegmentsTrial02,img025.png,519.9034430124798,890.1761293367082,438.13250288800066,994.8535868901947,428.0110184426254,950.1059714474831,423.21663107376344,963.9564238464176,426.4128893196714,977.2741665377009
labeled-data,5Bugs2SegmentsTrial02,img036.png,464.76798827056723,871.5312895689116,398.9783393756279,974.610617999444,397.1138553988483,910.4190982274587,391.2540486146837,926.4003894569986,387.79143551494997,947.1760680554004
labeled-data,5Bugs2SegmentsTrial02,img048.png,402.4409524753616,848.6247721399044,364.3522083782915,927.1994540184756,386.7260160996474,859.278966292931,374.74004767749244,865.9378376385727,364.61856323211714,893.1060327287905
labeled-data,5Bugs2SegmentsTrial02,img054.png,391.52040346850924,816.9285445346502,353.9643690790905,889.3770647752311,382.197983584611,835.8397391562725,363.02043410916315,839.5687071098317,359.82417586325516,864.3397085156187
labeled-data,5Bugs2SegmentsTrial02,img149.png,132.357128664011,798.8164144745052,157.92719463127483,702.9286670972658,153.66551697006417,681.3539239373869,153.13280726241285,803.0780921357158,136.8851611790473,713.0501515426411
labeled-data,5Bugs2SegmentsTrial02,img176.png,227.44581249583655,845.9612236016505,144.34309810222905,813.1995765810927,138.48329131806443,733.8258301410445,235.17010325678083,826.7836741262028,185.89445529903278,725.0361199647981
labeled-data,5Bugs2SegmentsTrial02,img241.png,482.6137634768868,811.8678023119627,477.2866664003735,833.4425454718415,371.27743457775875,864.6060633694444,477.8193761080248,792.6902528365148,463.4362140014389,772.71363879959
labeled-data,5Bugs2SegmentsTrial02,img264.png,490.66344236672023,939.2624434477714,475.32310677207045,929.9718176650962,451.98851178302573,905.9890394819114,542.3020368332174,888.4880932401278,545.1108306744914,852.4058954329938
labeled-data,5Bugs2SegmentsTrial02,img283.png,413.5296422640446,927.595145953249,426.4933061468472,884.598994075287,495.41678579041456,974.6964580607653,513.7819762910516,974.4803969960519,539.9253651213703,952.0100462658606
labeled-data,5Bugs2SegmentsTrial02,img299.png,471.00188547780294,867.0980478335034,505.78771689665666,875.9565514867519,429.5181610528345,983.9870838434405,441.4015196120703,999.1113583733769,479.4282670016246,998.2471141145234
labeled-data,5Bugs2SegmentsTrial02,img356.png,382.2007878806049,889.3523374989813,401.64628370480887,862.1286433450957,519.3995639735995,907.0693448054782,525.449273785574,891.2968870814017,502.54680092595595,861.2643990862423
labeled-data,5Bugs2SegmentsTrial02,img398.png,559.5869220102875,928.2433291473892,541.4377925743638,947.040641777453,424.3326954997134,890.6487038872616,412.2332758757643,902.7481235112107,428.86997785869437,936.8857717359243
labeled-data,5Bugs2SegmentsTrial02,img452.png,464.95217566582835,830.3676668322294,481.5888776487584,835.9852545147771,498.65770176111516,968.8628093135042,514.4301594851918,971.0234199606379,534.3077774388224,943.3676036773256
labeled-data,5Bugs2SegmentsTrial02,img484.png,560.0190441397143,978.1534350961794,544.4626474803512,985.9316334258609,458.03822159500027,880.7098949104462,439.24090896493647,893.0253755991087,437.5124204472295,927.3790848885357
labeled-data,5Bugs2SegmentsTrial02,img485.png,556.827316875763,982.8681660444415,539.1103095692661,988.0536315975626,461.9765094665904,879.3749160467338,443.82738003066675,888.2334196999823,436.91342595983866,923.4513732482627
labeled-data,5Bugs2SegmentsTrial02,img748.png,471.2671352492656,976.1702730383267,468.24228034327837,961.6941817025305,561.1485381700305,863.8185193873707,550.5615459990751,849.7745501810011,514.9114703213678,856.0403210576891
labeled-data,5Bugs2SegmentsTrial02,img878.png,619.268964577929,848.9103059221475,615.5959264778015,863.6024583226572,494.8177913030237,927.5565334778169,496.76234088544413,940.9523194900463,527.6590731394571,949.1626399491546
