scorer,,,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva
bodyparts,,,White,White,Brown,Brown,Orange,Orange,Green,Green,Red,Red
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,5Bugs2SegmentsTrial03,img015.png,478.2612357137294,1061.7217810532186,454.60061422314016,1056.4638651664209,435.8473808935619,997.0494156456077,440.2289774658932,1021.2358287248768,552.3978497175756,967.7803505424343
labeled-data,5Bugs2SegmentsTrial03,img022.png,473.00331982693166,1086.4339857211671,453.72429490867376,1081.7018614230492,435.4968531677754,1019.1326623701577,432.16683977280354,1044.3706586267863,555.5525992496541,988.8120140896249
labeled-data,5Bugs2SegmentsTrial03,img040.png,416.3931135069253,1140.4152554922896,405.8772817333301,1129.7241598558012,399.3925188062797,1082.9287084633024,400.6193658465325,1107.8161769941444,535.5725188798233,1081.0008059714764
labeled-data,5Bugs2SegmentsTrial03,img138.png,373.89645939536894,908.6482794799097,373.24161508526316,922.0258132434993,364.9157374282038,955.7035206203686,372.40145784428967,936.0446500238188,232.1935214314149,921.925349635637
labeled-data,5Bugs2SegmentsTrial03,img177.png,542.1434252026456,969.4770004433359,532.8854556120505,976.5343051312486,506.62924677314936,986.854664674863,520.9715111389075,983.136299839296,466.07535775782264,856.6170919756325
labeled-data,5Bugs2SegmentsTrial03,img212.png,543.5673319813318,1125.5405109970484,532.4032339999789,1119.6301061833908,511.3884613291967,1094.346707813856,519.9257127267019,1109.4510756709806,619.0891712669553,1003.7205006711079
labeled-data,5Bugs2SegmentsTrial03,img260.png,340.64343337909156,1098.6153335126087,350.49410806852075,1091.0631495840462,379.71777631382713,1079.2423399567313,363.2999851647786,1084.824388947408,438.821824450402,1199.4205711677669
labeled-data,5Bugs2SegmentsTrial03,img299.png,370.5050343007115,930.9968049636751,381.5943021106493,938.5318202704277,402.6354769295057,964.6911186938709,392.54139982045973,951.0427890816397,274.01261942067,1034.916679397517
labeled-data,5Bugs2SegmentsTrial03,img318.png,444.76508463870414,890.3724773883423,448.88124887365484,902.7209700931943,455.7852748701615,932.8992918230477,453.9207908933818,917.1843554473335,309.5564601198714,910.2591292478662
labeled-data,5Bugs2SegmentsTrial03,img347.png,577.5094430684903,905.4647418790042,574.5795396764081,920.6469685470671,550.8739576859239,946.217034514331,567.3879586231151,935.82919521513,469.90208212292174,827.4227697080844
labeled-data,5Bugs2SegmentsTrial03,img387.png,667.3706517657622,1067.0075301073796,653.2538445130019,1065.6757558382512,626.3520042766098,1054.2224971237476,639.4033921140674,1061.6804330308662,684.1510075567791,926.6385221412542
labeled-data,5Bugs2SegmentsTrial03,img440.png,452.1559298746248,1117.8813071880813,462.5437691738257,1106.1616936197522,487.31477057961257,1088.3159184134327,476.9269312804116,1097.9046931511566,575.4782271959077,1192.194311405442
labeled-data,5Bugs2SegmentsTrial03,img480.png,519.2641864852858,938.7605743223706,529.078962807308,951.5548363135781,543.9763911532345,977.1433602959931,538.017419814864,963.2975151274261,417.96167373298516,1035.5062266394466
labeled-data,5Bugs2SegmentsTrial03,img522.png,702.5689496076104,1006.5634720837536,693.3749865641432,1019.6977050029924,659.2259809741222,1023.3096190557831,673.3452813623039,1020.3544166489544,622.7784846232344,892.2956456863756
labeled-data,5Bugs2SegmentsTrial03,img542.png,708.6717257225916,1103.0317618936904,691.7189239032144,1099.8026567852376,664.1562052989207,1090.3459918247686,678.4565279220689,1098.8800553256797,728.474178371292,964.1427780586625
labeled-data,5Bugs2SegmentsTrial03,img560.png,654.5836029128752,1177.8471098052444,643.3966990521973,1168.2583350675204,630.3453112147397,1138.6929462928715,635.1396985836017,1153.8751729609344,750.4713502901146,1072.370587690281
labeled-data,5Bugs2SegmentsTrial03,img658.png,538.3640497468444,873.9827767679031,548.0316165555082,884.7877043775862,547.7472763552532,912.7952141026855,550.3063381575466,897.1565030886705,408.46515719234935,932.8402181965863
labeled-data,5Bugs2SegmentsTrial03,img682.png,650.6290696076841,884.3446757107349,648.1032415544189,900.5286850890639,627.9573625990558,928.821681305029,642.5297715114536,914.2492723926313,522.7121871206282,837.7441256025434
labeled-data,5Bugs2SegmentsTrial03,img693.png,711.2365396638032,897.7471198913486,703.9858645573054,914.5231917063827,671.428911628129,936.1330469257488,691.1905555458387,924.4750987153013,593.4522026892703,825.0576495757982
labeled-data,5Bugs2SegmentsTrial03,img755.png,618.1833976611495,1058.53692148183,619.462928562296,1039.9126383651394,633.3955983747821,1016.3124017439895,627.1401139691761,1029.9607313562208,732.2038179633308,1052.5657772764787
