scorer,,,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva
bodyparts,,,White,White,Pink,Pink,Yellow,Yellow,Orange,Orange,Green,Green,Blue,Blue,Red,Red
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,7Bugs2SegmentsTrial05,img000.png,623.8615603821236,959.8260377989457,618.5344633056103,945.7092305461854,593.7634618998234,937.9849397852411,625.1933346512519,1060.2418176912213,641.4409807346175,995.7839430654104,640.1092064654891,1018.6904604944176,627.8568831895086,980.0690066896962
labeled-data,7Bugs2SegmentsTrial05,img015.png,725.342759689702,971.5456513672749,707.4969844833824,942.2466174464518,689.1184995694115,925.4662616554349,683.2586927852469,1035.204461431609,716.0203398058036,992.0549751118511,707.763339337208,1008.835330902868,693.9128869382735,978.2045227129165
labeled-data,7Bugs2SegmentsTrial05,img021.png,753.043664487571,980.6017163973476,741.5904057730675,955.8307149915607,719.749307759363,933.4569072702049,712.2913718522443,1028.2792352321417,742.1231154807189,1007.2372017799141,734.6651795736002,1017.8913959329407,722.146501443794,983.2652649356041
labeled-data,7Bugs2SegmentsTrial05,img036.png,807.6805692966408,1053.1355391806119,813.7302791086154,982.2675099546243,784.7780964370228,995.6632959668536,745.0228605297614,1071.7167907459625,780.4568751427553,1068.043752645835,761.0113793185512,1060.9137375102935,778.9444476897615,1028.2885167385737
labeled-data,7Bugs2SegmentsTrial05,img040.png,804.2235922612267,1074.5255845872364,816.1069508204625,967.5753575541146,795.7972107374051,1017.7015245676181,747.6155933063219,1087.2731874053256,781.9693025957489,1083.600149305198,765.3326006128189,1074.957706716663,782.8335468546024,1047.5179514980641
labeled-data,7Bugs2SegmentsTrial05,img075.png,769.3783651492903,1236.347515163616,791.4165937500547,1203.5062333271826,723.7894804947676,1214.7414086922784,749.0686250662328,1225.9765840573739,737.1852665069971,1221.439301698393,770.2426094081438,1209.988065268584,,
labeled-data,7Bugs2SegmentsTrial05,img087.png,721.3920136040692,1289.8089434257952,667.3219782774593,1186.9959698490884,751.4901120863694,1267.4351357044393,681.9714952378708,1250.3884250595968,715.5322068199046,1263.1734580432285,692.8920442447231,1271.1641036579986,738.7050791027375,1255.71552213611
labeled-data,7Bugs2SegmentsTrial05,img108.png,585.8686366588107,1285.8074128352457,613.7788816121932,1243.1211558477194,652.1965129009669,1348.851730847592,612.4654583202694,1258.2255237048441,622.6444888326795,1330.1354489376768,594.4058880563159,1270.703044978121,654.8233594848147,1323.5683324780575
labeled-data,7Bugs2SegmentsTrial05,img119.png,543.5107354942654,1241.4793767328144,568.1374222178382,1206.6736594968315,586.1969924817917,1358.0456938910593,578.9731643762103,1232.2854136893473,567.4807105718763,1346.5532400867253,554.0181218296565,1227.3600763446327,604.2565627457451,1332.7622955215245
labeled-data,7Bugs2SegmentsTrial05,img258.png,735.4319858261027,1092.947322319654,723.548627266867,1088.1939788959596,709.7207191252108,1089.2742842195266,718.363161713746,1006.0907743048763,698.0534216306885,1084.304879731119,770.6499393743833,975.8422252450035,685.3058188125992,1079.3354752427113
labeled-data,7Bugs2SegmentsTrial05,img316.png,475.77260979037004,1129.9800622132466,485.06323557304523,1121.121558559998,491.76112857915996,1108.1578946771954,598.181371186063,1174.9836796101335,506.69902634712196,1102.121635048145,585.6329079559428,1204.5332865713845,519.6522787136977,1096.4545871377682
labeled-data,7Bugs2SegmentsTrial05,img409.png,757.9216860482027,849.6632042096381,735.4879115978662,858.9521889429806,745.4779517827816,876.6538390951993,627.3501081927286,830.3841792913803,737.0652863639054,887.8707263203675,638.041203829217,807.2493493894708,728.1268293563495,902.2423630776143
