scorer,,,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva
bodyparts,,,White,White,Pink,Pink,Yellow,Yellow,Orange,Orange,Green,Green,Blue,Blue,Red,Red
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,7Bugs2SegmentsTrial04,img002.png,606.4729130403243,977.5416405781737,638.1956722240033,983.8511396423307,576.6780563484712,986.4800975857296,560.9043086880783,1008.913872036066,654.3199476101826,996.2948739077517,661.0635006742618,1089.271309411457,590.2254017945509,986.8596578882176
labeled-data,7Bugs2SegmentsTrial04,img007.png,614.8803113653227,958.8957810869849,649.0165653689666,965.1233409390011,588.8168201328107,957.5118788976481,567.2510110156437,986.4584996912786,658.850688546074,975.8990785331215,675.9251913410844,1063.24172744606,600.403352055461,962.1081339679208
labeled-data,7Bugs2SegmentsTrial04,img019.png,654.9104186703023,905.3025765922127,668.0446515895412,908.2577789990414,622.5717644433878,910.1781874828669,601.8871270069553,942.1250773780537,682.2674033215092,923.3485672773776,700.7564150626656,1005.6977756214355,635.884564028916,918.8692980839554
labeled-data,7Bugs2SegmentsTrial04,img049.png,705.3402165726588,774.6807366799925,722.5160751361977,774.6807366799925,685.1848723399347,778.8870693894306,709.0207576934172,877.7358880612258,784.910010326196,846.7141843291198,782.6315801085838,870.5500696826023,730.7534766921807,820.2493410322385
labeled-data,7Bugs2SegmentsTrial04,img085.png,865.2575198379031,719.2651744594975,875.4123898794319,729.6361055657396,847.1083904019795,701.764228217714,844.9477797548457,821.462058068925,884.2708935326802,758.1561661079055,889.4563590858014,769.6074025377145,881.0299775619796,744.760380095676
labeled-data,7Bugs2SegmentsTrial04,img132.png,942.3253283305826,817.5549158744288,951.2637853381385,827.1944283335578,938.9953149356107,797.3995716417047,981.2339058928849,874.6909351776296,963.0064641519865,851.7313691386133,969.6664909419302,862.0719370493152,955.2948541846833,840.514481913445
labeled-data,7Bugs2SegmentsTrial04,img174.png,970.1922825306099,852.257160727293,957.0474928136159,869.6082831537252,964.6200384365824,834.4756662469107,1001.600713507059,913.1691406859816,983.7237994919471,887.5806167035666,990.9096178705705,898.4469762029483,977.5895642906833,876.5389933412916
labeled-data,7Bugs2SegmentsTrial04,img186.png,974.7853424843912,862.3426204469381,956.733164606386,876.8895210670781,969.7026904604868,842.3625400771072,1003.5286159988848,918.952848161459,987.754868338492,893.5395880419372,994.9406867171153,903.3543643639595,973.7337593070316,889.1579914696059
labeled-data,7Bugs2SegmentsTrial04,img231.png,981.2947604198637,871.6719381951482,1000.4277254925097,957.600323057273,974.3249498175945,850.5256718193557,1010.8155647917106,924.3059663290649,987.1099828012264,896.8714163850213,994.8342735621707,908.0583202456994,968.9978527410811,892.8760935776364
labeled-data,7Bugs2SegmentsTrial04,img361.png,957.0118843189263,825.4883155597431,1002.0258546154637,942.6844512430358,978.3202726249795,852.656510649961,1000.6940803463353,930.1657731132295,995.8996929774734,904.8620619997914,997.764176954253,917.6470949834232,995.8996929774734,884.0863834013895
labeled-data,7Bugs2SegmentsTrial04,img367.png,968.9978527410811,840.4041873739804,1006.8202419843257,959.7311618878784,979.6520468941077,871.034995563932,1005.2221128613716,946.1470643427695,998.5632415157299,921.3760629369826,1000.4277254925097,933.3620313591375,1003.0912740307663,899.2686100694524
labeled-data,7Bugs2SegmentsTrial04,img429.png,1028.191669054293,1022.6203952425506,1021.9258981776051,1095.4329740509588,933.5569227098338,1103.2111723806402,1020.4134707246114,1081.3890048445892,1022.3580203070318,1055.8937992084107,1020.4134707246114,1067.5610967029331,1021.7098371128917,1040.7695246784742
